CASE	CORPUS	FILE	MATCHLEMMA	COMPLEMENTIZER	TYPE	L1	REGISTER	L_MATRBE4S	SURPRISAL
1	ICE-GB	S2A-068	accept	present	obj	English	spoken	0	6.424231433
2	ICE-GB	S1B-029	accept	absent	obj	English	spoken	0	13.3190491963
3	ICLE	SPM04051	accept	present	obj	Spanish	written	3	12.3190491963
4	ICE-GB	S1B-063	accept	present	obj	English	spoken	0	9.5116942742
5	ICE-GB	S1B-065	accept	present	obj	English	spoken	0	9.4121586007
6	ICE-GB	S1B-056	accept	present	obj	English	spoken	0	4.5608259816
7	ICLE	GEBA1022	accept	present	obj	German	written	8	10.9971211014
8	ICLE	SPM06008	accept	present	obj	Spanish	written	0	11.3190491963
9	ICE-GB	S1B-044	accept	present	obj	English	spoken	0	7.9971211014
10	ICE-GB	S1B-022	accept	present	obj	English	spoken	0	2.4901193686
11	ICE-GB	S1B-059	accept	present	obj	English	spoken	13	2.3897907877
12	ICE-GB	S1B-058	accept	present	obj	English	spoken	0	9.7340866956
13	ICLE	GESA5028	accept	present	obj	German	written	0	9.7340866956
14	ICE-GB	S1B-056	accept	present	obj	English	spoken	0	9.7340866956
15	ICE-GB	S2A-068	accept	present	obj	English	spoken	0	9.7340866956
16	ICE-GB	S1B-053	accept	present	obj	English	spoken	0	9.7340866956
17	ICLE	SPM03011	accept	present	obj	Spanish	written	0	9.9971211014
18	ICLE	SPM03032	accept	present	obj	Spanish	written	120	9.9971211014
19	ICE-GB	S1B-058	accept	present	obj	English	spoken	0	5.2105247395
20	ICE-GB	S1A-075	accept	present	obj	English	spoken	0	5.2105247395
21	ICE-GB	S1B-022	accept	present	obj	English	spoken	0	8.1491241949
22	LINDSEI	SP006	accept	present	obj	Spanish	spoken	0	8.1491241949
23	ICE-GB	S1B-064	accept	present	obj	English	spoken	0	9.8845187577
24	ICLE	GEAU3047	accept	present	obj	German	written	0	6.9267317735
25	ICE-GB	W2C-006	accept	present	obj	English	written	2	3.0893437564
26	ICE-GB	S2B-040	accept	present	obj	English	spoken	0	3.0893437564
27	ICE-GB	S2A-068	accept	present	obj	English	spoken	0	3.0893437564
28	ICE-GB	S2B-020	acknowledge	absent	obj	English	spoken	0	10.5949904779
29	ICE-GB	S1B-056	acknowledge	present	obj	English	spoken	0	2.1273849278
30	ICE-GB	S2B-020	acknowledge	present	obj	English	spoken	0	7.6423718442
31	ICE-GB	W2E-005	acknowledge	present	obj	English	written	0	3.3336191381
32	ICLE	GEBA1027	add	present	obj	German	written	0	8.8347205722
33	ICLE	SPM02006	add	present	obj	Spanish	written	0	11.0826480856
34	ICE-GB	S2A-039	add	present	obj	English	spoken	0	13.0826480856
35	ICLE	SPM02015	add	present	obj	Spanish	written	19	3.1863156817
36	ICLE	SPM04047	add	present	obj	Spanish	written	0	7.623216467
37	ICLE	SPM03016	add	present	obj	Spanish	written	0	7.623216467
38	ICE-GB	W2C-009	add	absent	obj	English	written	0	9.2540858507
39	ICE-GB	W2C-017	add	present	obj	English	written	0	4.7233043881
40	ICE-GB	W2C-009	add	present	obj	English	written	0	4.7233043881
41	ICE-GB	W2C-001	add	present	obj	English	written	0	4.7233043881
42	ICE-GB	S2B-004	add	present	obj	English	spoken	0	4.7233043881
43	ICLE	GEAU3064	admit	present	obj	German	written	0	8.9085597149
44	ICLE	SPM05004	admit	present	obj	Spanish	written	0	8.1012047928
